"absolute poverty","inability to meet a bare minimum of basic necessities, including clean drinking water, food, safe housing, and reliable access to healthcare"
"acetylcholine (ACh)","the neurotransmitter used at the neuromuscular junction, throughout the PNS and by the preganglionic neurons of the SNS"
"acetylcholinesterase","the enzyme that breaks down ACh in the synaptic cleft"
"achieved status","statuses that are considered to be due largely to an individual's efforts"
"acquisition","in classical conditioning, the process of learning the association between a conditioned stimulus and response"
"action potential","localized change in the neuron's membrane potential that propagates away from its point of origin. All-or-none processes mediated by the opening of voltage gated sodium and potassium channels when the membrane is brought to threshold potential; opening of sodium channels causes characteristic depolarization, while opening sodium channels repolarizes the membrane"
"activation-synthesis theory","theory that dreams are simply byproducts of brain activation during REM sleep. Suggests that the content of dreams is not purposeful or meaningful"
"actor-observer bias/self-serving bias","tendency to blame our actions on the situation and blame the actions of others on their personalities"
"addiction","a compulsion to do an act repeatedly; can consist of a psychological dependence and/or a physical dependence as evidenced by drug addiction withdrawal"
"adrenal cortex","outer region of the adrenal gland. the adrenal cortex produces cortisol in response to long-term chronic stress and aldosterone in response to low blood pressure and blood osmolarity"
"adrenal medulla","inner region of the adrenal gland, and part of the SNS and releases epinephrine and norepinephrine into the bloodstream when stimulated. Epi and norepi. prolong and enhance the effect of the sympathetic stimulation on the body"
"adrenocorticotropic hormone (ACTH)","a tropic hormone produced by the anterior pituitary gland that targets the adrenal cortex, stimulating it to release cortisol and aldosterone"
"affect","a person's visible emotion in the moment"
"affirmative action","policies that take factors like race and sex into consideration to benefit underrepresented groups in admissions or job hiring decisions; these policies have been used to benefit those believed to be current or past victims of discrimination"
"aggregate","people who exist in the same space but do not interact or share a common sense of identity"
"aggression","behavior that is forceful, hostile, or attacking. in sociology, aggression is considered something that is intended to cause harm or promote social dominance within a group"
"Mary Ainsworth","famous for her strange situation experiments where mothers would leave their infants in an unfamiliar environment to see how they would react. Studies suggested a distinction between securely attached infants and insecurely attached infants"
"algorithm","a step-by-step detailing the steps that aids with problem solving"
"alpha waves","low amplitude, high frequency brain waves present in a relaxed state. alpha waves are the first indicator that a person is ready to drift off to sleep"
"altruism","a behavior that helps ensure the success or survival of the rest of the social group, possibly at the expense of the success or survival of the individual"
"Alzheimer's disease","most prevalent forms of the dementia, characterized behaviorally by the inability to form new memories, known as anterograde amnesia"
"amalgamation","occurs when majority and minority groups combine to form a new group"
"amygdala","almond-shaped structure deep within the brain that orchestrates emotional experiences"
"anal stage","the second stage of Freud's five psychosexual stages; in this stage the child seeks sensual pleasure through control of elimination"
"anterior pituitary gland","adenohypophysis and is made of glandular tissue and it makes and secretes six different hormones: FSH, LH, ACTH, TSH, prolactin, and growth hormone. it is controlled by releasing and inhibiting factors from the hypothalamus"
"anterograde amnesia","inability to form new memories"
"antisocial personality disorder","psychological disorder characterized by a history of serious behavior problems beginning in adolescence, including significant aggression against people or animals, deliberate property destruction, lying or theft, and serious rule violation"
"anxiety disorder","emotional state of unpleasant physical and mental arousal; a preparation to fight or flee. in a person with an anxiety disorder, the anxiety is intense, frequent, irrational (out of proportion), and uncontrollable; it causes significant distress or impairment of normal functioning"
"aqueous humor","thin, watery fluid found in the anterior segment of the eye (between lens and cornea). The aqueous humor is constantly produced and drained, and helps brings nutrients to the lens and cornea, as well as remove metabolic wastes"
"Solomon Asch","Conducted research on conformity and group pressure by placing subjects in a room with several confederates and observing behavior of the subject when the confederates provided clearly wrong answers to questions"
"ascribed status","statuses that are assigned to a person by society regardless of the person's own efforts"
"assimilation","process in which an individual forsakes aspects of his or her own cultural tradition to adopt those of a different culture. Generally, this individual is a member of a minority group who is attempting to conform to the culture of the dominant group"
"associative learning","process of learning in which one event, object, or action is directly connected with another. Two general categories include classical and operant conditioning"
"Attenuation model of selective attention","model of selective attention in which the mind has an attentuator, like a volume knob, that can tune up inputs to be attended and tune down unattended inputs, rather than totally eliminating them (accounts for the cocktail party effect)"
"attitude","person's feelings and beliefs about other people or events around him, and his behavioral restrictions based on those underlying evaluations"
"attribution theory","theory that attempts to explain how individuals view behavior - both our own behavior and the behavior of others - by attributing behavior to either internal or external cues"
"auditory cortex","area of the temporal lobe responsible for processing sound information"
"auditory tube","Eustachian tube that connects the middle ear cavity with the pharynx and it functions to equality middle ear pressure with atmospheric pressure so that pressure on both sides of the tympanic membrane is equal"
"authoritarian parenting","parenting style in which parents impose strict rules that are expected to be followed unconditionally in an attempt to control children. This style is demanding and often relies on punishment"
"authoritative parenting","parenting style that places limits on behavior and consistently follows through on consequences, but also expresses warmth and nurturing and allows for two-way communication between parents and children"
"autonomic ANS","division of the PNS that innervates and controls the visceral organs (everything but the skeletal muscles). It is also known as the involuntary nervous system and can be subdivided into sympathetic and parasympathetic branches"
"availability heuristic","mental shortcut of making judgments on the frequency of something occurring based on how readily it is available in our memories"
"avoidance learning","process by which one learns to perform a behavior in order to ensure that a negative or aversive stimulus will not be present"
"avoidant personality disorder","characterized by feelings of inadequacy, inferiority, and undesirability, and a preoccupation with fears of criticism"
"axon","long projection off the cell body of a neuron down which an action potential can be propagated"
"Babinski reflex","in response to the sole of the foot being stroked, a baby's big toe moves upward or toward the top surface of the foot and the other toes fan out"
"back stage","dramaturgical approach where we can let down our guard and be ourselves, as opposed to front stage where we are playing a role for others"
"Albert Bandura","famous for his Bobo doll studies that demonstrated observational learning; also pioneered the idea of the importance of self-efficacy in promoting learning"
"baroreceptor","sensory receptor that responds to the changes in pressure, for example, there are baroreceptors on the carotid arteries and the aortic arch that monitor blood pressure"
"basal nuclei","known as basal ganglia and these structures in the brain help to smooth coordinated movements by inhibiting excess movement"
"basilar membrane","flexible membrane in the cochlea that supports the organ of Corti (structure that contains the hearing receptors). the fibers of the basilar membrane are short and stiff near the oval window and long and flexible near the apex of the cochlea. This difference in structure helps the basilar membrane to transduce pitch"
"behavioral genetics","study the role of inheritance in interacting with experience to determine an individual's personality and behaviors"
"behavioral therapy","type of therapy uses conditioning to shape a client's behaviors in the desired direction"
"behaviorism","according to this perspective, personality is a result of learned behavior patterns based on a person's environment. Behaviorism is deterministic, proposing that people begin as blank slates, and that environmental reinforcement and punishment completely determine an individual's subsequent behavior and personality"
"beliefs","convictions or principles that people within a culture hold"
"belief bias","tendency to draw conclusions based on what one already believes rather than sound logic"
"belief perseverance","maintenance of beliefs in the face of evidence to the contrary"
"bilateral descent","system of lineage in which the relatives on the mother's side and father's side are considered equally important"
"biofeedback","means of recording and feeding back information about subtle autonomic responses to an individual in an attempt to train the individual to control previously involuntary responses (for example, muscle tension, heart rate, respiratory rate)"
"bipolar disorder","cyclic mood episodes at both extremes/poles (depression and mania). In bipolar I disorder, and person has experienced at least one manic episode or mixed and in bipolar II, the manic phases are less extreme"
"bipolar neuron","a neuron with a single axon and a single dendrite, often projecting from opposite sides of the cell body. bipolar neurons are typically associated with sensory organs"
"body dysmorphic disorder","characterized with preoccupation with a slight physical anomaly or imagined defect in appearance, often involving the face, hairs, breasts, or genitalia"
"borderline personality","characterized by enduring or recurrent instability in impulse control, mood, and image of self and others. impulsive and reckless behavior, together with extreme mood swings, reactivity, and anger, can lead to unstable relationships and to damage both of the person with the disorder and of others in his or her life"
"bottom-up processing","type of sensory processing that begins with the sensory receptors and works up to the complex integration of information occurring in the brain; note that the brain in fact uses a combination of bottom-up processing and top-down processing"
"Broca's area","region of the brain located in the left-hemisphere of the frontal lobe. Involved with speech production and damage to this part of the brain results in Broca's aphasia, where individuals know what they want to say but are unable to express it verbally"
"bystander effect","fact that a person is less likely to provide help when there are other people around"
"Cannon-Bard Theory","theory of emotion that asserts that the physiological and cognitive aspects of emotion occur simultaneously and collectively lead to the behavioral reaction"
"capitalism","an economic system in which resources and production are mainly privately owned and goods/services are produced for profit"
"caste system","closed social stratification where people can do nothing to change the category that they are born into"
"catatonic-type SCZ","psychological disorder characterized by psychosis in the form of catatonic behavior (including extremely retarded or excited motor activity)"
"category","people who share similar characteristics but are not otherwise tied together as a group"
"Raymond Cattell","psychologist interested in personality, who used factor analysis with hundreds of surface traits to identify which traits were related to each other. By this process, he identified sixteen source traits, and by factor analysis reduced fifteen of these into five global factors: extroversion, anxiety, receptivity, accommodation, and self-control"
"central executive","Part of Alan Baddeley's model of working memory that oversees the visuospatial sketchpad, phonological loop, and episodic buffer. Responsible for shifting and dividing attention"
"central nervous system","subdivision of the nervous system consisting of the brain and the spinal cord"
"central route","cognitive route of persuasion based on the content and deeper aspects of an argument"
"cerebellum","region of the brain that coordinates and smoothes skeletal muscle activity"
"cerebral cortex","thin (4 mm) layer of gray matter on the surface of the cerebral hemispheres. it is the conscious mind, and is functionally divided into four lobes: frontal, parietal, temporal, and occipital"
"cerebrospinal fluid (CSF)","a clear fluid that circulates around and through the brain and spinal cord. CSF helps to physically support the brain and acts as a shock absorber. It also exchanges nutrients and wastes with the brain and spinal cord."
"charismatic authority","form of leadership where devotion is reliant upon an individual with exceptional charisma (persuasiveness, charm, and ability to connect with people)"
"chemical synapse","type of synapse at which a chemical (NT) is released from the axon of a neuron into the synaptic cleft, where it binds to receptors on the next structure (either another neuron or an organ)"
"chemoreceptor","sensory receptor that responds to specific chemicals. Some examples are gustatory, olfactory, and central chemoreceptors which respond to changes in CSF pH"
"choroid","darkly-pigmented middle layer of the eyeball, found between the sclera (outer layer) and the retina (inner layer)"
"chunking","memory technique in which information to be remembered is organized into discrete groups of data. this clustering allows more information to be remembered overall"
"church","in sociology, a type of religious organization that is well-integrated into society and attempts to find an all-encompassing worldview for followers"
"ciliary muscle","muscle that helps focus light on the retina by controlling the curvature of the lens of the eye"
"circadian rhythm","waxing and waning of alertness throughout the 24 hour day"
"class system","social stratification where people are grouped together by similar wealth, income, education, and the like, but the classes are open, meaning that people can strive to reach a higher class or fall into a lower one"
"classical conditioning","process in which two stimuli are paired in a way that changes a response to one of them"
"cochlea","curled structure in the inner ear that contains the membranes and hair cells used to transduce sounds waves into action potentials"
"cocktail party effect","phenomenon of information of personal importance from previously unattended channels ""catching"" one's attention"
"coercive organizations","organization in which members do not have a choice in joining"
"cognitive behavioral therapy (CBT)","therapy that addresses thoughts and behaviors that are maladaptive by using goal-oriented and systematic techniques"
"cognitive dissonance theory","explains that we feel tension (dissonance) whenever we hold two thoughts or beliefs (cognition) that are incompatible, or when attitudes and behaviors don't match. When this occurs, we try to reduce this unpleasant feeling of tension by making our views of the world match how we feel or what we've done"
"cognitive psychology","tradition of psychology that focuses on the brain, cognitions, and thoughts as mediating learning and stimulus-response behaviors"
"concrete operational stage","Piaget's third stage of his developmental theory where children aged 7-11 learn to think logically and learn the principle of conservation as well as mathematical concepts"
"conditioned response","a previously unconditioned response to an unconditioned stimulus that has become a learned response to a conditioned stimulus"
"conditioned stimulus","originally a neutral stimulus that is paired with an unconditioned stimulus until it can produce the conditioned response without the unconditioned stimulus being present"
"cones","photoreceptors in the retina of the eye that respond to bright light and provide color vision"
"confederates","person who is working with the experimenter and posing as a part of the experiment, but the subjects are not aware of this affiliation"
"confirmation bias","tendency to search only for information that confirms a preconceived conclusion"
"conflict theory","views society as being in competition for limited resources and society is a place where there will be inequality in resources, so individuals will compete for social, political, and material resources, like money, land, power, and leisure"
"conformity","phenomenon of adjusting behavior or thinking based on the behavior or thinking of others"
"consciousness","awareness of self, internal states, and the environment"
"conversion disorder","disorder characterized by a change in sensory or motor function that has no discernible physical or physiological cause, and which seems to be significantly affected by psychological factors. The symptoms of conversion disorder begin or worsen after an emotional conflict or other stressor"
"cornea","clear portion of the tough outer layer of the eye-ball, found over the iris and the pupil"
"corpus callosum","largest bundle of white matter (axons) connecting the two cerebral hemispheres"
"cortisol","steroid hormone is released during chronic stress; it shifts the body's use of fuel from glucose toward fats and proteins, thus ""sparing"" glucose for the brain's use. Prolonged release of cortisol is associated with suppressed immunity and increased susceptibility to illness"
"crude birth rate","annual number of live births per thousand people in a population"
"cult (new religious movement)","religious organization that is far outside society's norms and often involves a very different lifestyle"
"culture","shared way of life, including beliefs and practices that a group shares"
"cultural capital","non-financial social assets that promote social mobility"
"cultural relativism","judging another culture based on its own cultural standards"
"cultural universals","patterns or traits that are common to all people; cultural universals tend to pertain to basic human survival and needs, such as securing food and shelter, and also pertain to events that every human experiences, including birth, death and illness"
"cyclothymic disorder","disorder similar to bipolar disorder but the moods are less extreme and the person has experienced cyclic moods, including many hypomanic episodes, as well as many episodes of depressed mood that are milder than a major depressive episode for at least two years"
"death instinct","according to the psychoanalytic theory, the death instinct drives aggressive behaviors fueled by an unconscious wish to die or to hurt oneself or others"
"deindividuation","an explanation of people's startling and often uncharacteristic behavior when situations provide a high degree of arousal and a very low sense of responsibility"
"delusion","a false belief that is not due to culture, and is not relinquished despite evidence that it is false"
"demography","the study of human population dynamics, including the size, structure, and distribution of a population, and changes in the population over time due to birth, death, and migration"
"dendrite","projection off the cell body of a neuron that receives nerve impulses from a different neuron and sends the impulse to the cell body. Neurons can have one or several dendrites"
"dependent personality disorder","characterized by a need to be taken care of by others and an unrealistic fear of being unable to take care of himself or herself"
"depersonalization disorder","characterized by a recurring or persistent feeling of being cut off or detached from one's body or mental processes, as if observing one's self from the outside"
"depolarization","movement of the membrane potential of a cell away from the resting potential to a more positive membrane potential"
"depressant","class of drugs that depress or slow down neural activity, includes alcohol, barbiturates (tranquilizers), and opiates"
"depth of processing","idea that information that is thought about at a deeper level is better remembered"
"deviance","violation of a society's standards of conduct or expectations"
"Diagnostic and Statistical Manual of Mental Disorders (DSM)","universal authority on the classification and diagnosis of psychological disorders; the current latest edition is the fifth edition of the DSM"
"diencephalon","portion of the forebrain that includes the thalamus and hypothalamus"
"difference threshold (just noticeable difference (JND))","threshold is a minimum noticeable difference between any two sensory stimuli (50%)"
"discrimination in brain","occurs when the conditioned stimulus is differentiated from another stimuli"
"discrimination","unjust treatment of a group, based on group characteristics (such as age, sex, race, ethnicity, disability)"
"dishabituation","restoration to full strength of a response to a stimulus that had previously become weakened through habituation"
"disorganized type SCZ","characterized by psychosis in the form of flat or inappropriate affect, disorganized speech, and disorganized behavior"
"dissociative amnesia","characterized by at least one episode of suddenly forgetting some important personal information, usually related to severe stress or trauma"
"dissociative disorder","characterized by a person's thoughts, feelings, perceptions, memories, or behaviors being separated from conscious awareness and control, in a way that is not explainable as mere forgetfulness"
"dissociative fugue","disorder when someone suddenly goes on a journey, during which he or she cannot recall personal history prior to the journey"
"dissociative identity disorder","characterized by alternating between two or more distinct personality states (identities), only one of which interacts with other people at any one time"
"divided attention","ability to focus on multiple tasks simultaneously"
"downward mobility","decrease in social class"
"dramaturgical approach","assumes that people are theatrical performers and that everyday life is a stage; just as actors project a certain on-screen image, people in society choose what kind of image they want to communicate verbally and nonverbally to others. Also called the dramaturgical perspective"
"drive","an urge originating from a physiological discomfort such as hunger, thirst, or sleepiness. Drives can be useful for alerting an organism that it is no longer in a state of homeostasis, an internal state of equilibrium"
"Drive Reduction Theory","theory about the impact of motivation on human behavior that suggests that a physiological need (a drive) creates an aroused state that motivated the organisms to reduce that need by engaging in some behavior"
"dual-coding hypothesis","hypothesis that is easier to remember words with associated images than either words or images alone"
"Emile Durkheim","considered the father of sociology and a major proponent of functionalism, and he was the pioneer of modern social research and established the field of sociology as separate and distinct from psychology and political philosophy"
"dynamic equilibrium","occurs when complex societies contain many different but interdependent parts working together to maintain stability"
"dyssomnias","broad category of disorders involving abnormalities in the amount, quality, or timing of sleep including insomnia, narcolepsy, and sleep apnea"
"dysthymic disorder","characterized as a less intense, chronic form of depression and a person has felt milder symptoms of depression most days for at least two years, with symptoms never absent for more than two months, and without experiencing a major depressive episode"
"eccelesia","dominant religious organization that includes most members of society, is recognized as the national or official religion, and tolerates no other religions"
"echoic memory","memory for sound, which lasts for about 3-4 seconds"
"effector","organ that carries out the command sent along a particular motor neuron"
"efferent neurons","neuron that carries information (action potentials) away from the CNS; a motor neuron"
"egalitarian family","family system where spouses are treated as equals and may be involved in more negotiation when making decisions"
"ego","in freud's psychoanalytic theory, the ego is ruled by the reality principle, and uses logical thinking and planning to control consciousness and the id (the unconscious driving force ruled by the pleasure principle)"
"ego defense mechanisms","to cope with this anxiety and protect the ego, all people develop ego defense mechanisms that unconsciously deny or distort reality. ego defense mechanisms are therefore normal, and become unhealthy only when taken to extremes"
"elaboration likelihood model","model that explains when people may be persuaded by just the content of an argument, and when they may be persuaded by more superficial characteristics such as the appearance of a person delivering the message or the length of the argument"
"Electra complex","complex that occurs during the phallic stage (third of Frued's psychosexual stages) when a female child is sexually attracted to her father and hostile toward her mother, who is seen as a rival"
"electrical synapse","type of synapse in which the cells are connected by gap junctions, allowing ions (and therefore the action potentials) to spread easily from cell to cell"
"Electroencephalogram (EEG)","recording of electrical impulses in the brain"
"electromyogram (EMG)","recording of skeletal muscle movements"
"electrooculogram (EOG)","recording of eye movements"
"empathy","ability to identify with others' emotions"
"encoding","process of transferring sensory information into the memory system"
"endocrine gland","ductless gland that secretes hormones into the blood"
"endocrine system","system of ductless glands that secrete chemical messengers (hormones) into the blood"
"endogamy","practice of marrying within a particular group"
"environmental injustice","when people in poorer communities are more likely to be subjected to negative environmental impacts to their health and well-being"
"epinephrine","hormone produced and secreted by the adrenal medulla that prolongs and increases the effects of the SNS"
"episodic buffer","part of Alan Baddeley's model of working memory that interacts with information in long-term memory"
"episodic memory","autobiographical memory for information of personal importance"
"EPSP","excitatory postsynaptic potential; a slight depolarization of a postsynaptic cell, bringing the membrane potential of a cell closer to the threshold for an action potential"
"Erik Erikson","Erikson extended Freud's theory of developmental stages in two ways: added social and interpersonal factors, to supplement Freud's focus on unconscious conflicts within a person. And Erikson delineated additional developmental stages and conflicts in adolescence and adulthood, to supplement Freud's focus on early childhood. Erikson's stages include: trust vs. mistrust, autonomy vs. shame and doubt, initiative vs. guilt, industry vs. inferiority, identity vs. role confusion, intimacy vs. isolation, generativity vs. stagnation, and integrity vs. despair"
"escape learning","through operant conditioning, this is the process of learning to engage in a particular behavior in order to get away from a negative or aversive stimulus"
"estrogen","primary female sex hormone. Estrogen stimulates the development of the female secondary sex characteristics during puberty maintains those characteristics during adulthood, stimulates the development of new uterine lining after menstruation, and stimulates mammary gland development during pregnancy"
"ethnicity","socially defined concept referring to whether or not people identify with each other based on shared social experience or ancestry"
"ethnocentricism","tendency to judge people from another culture by the standards of one's own culture"
"executive functions","higher order thinking processes that include planning, organizing, inhibition, and decision making"
"exocrine gland","gland that secretes its products into a duct, which ultimately carries the product to the surface of the body or into a body cavity. An example of exocrine glands are sweat glands"
"exogamy","a requirement to marry outside a particular group with it being the norm in almost all cultures to prohibit sexual relationships between certain relatives"
"explicit (declarative) memory","memories that can be consciously recalled such as factual knowledge"
"external locus of control","belief that one does not have control over outcomes, but they are controlled by outside forces"
"extinction","classical conditioning, unpairing of conditioned and unconditioned stimuli, accomplished by introducing the conditioned stimulus repeatedly in the absences of the unconditioned stimulus"
"false consensus","occurs when we assume that everyone else agrees with what we do (even though they may not)"
"false memory","inaccurate memory created by the power of the imagination or suggestion"
"feature detection theory","theory of visual perception that proposes that certain neurons fire for individual and specific features of a visual stimulus, such as shape, color, line, movements, etc."
"fecundity","potential reproductive capacity of a female in a population"
"feral children","neglected or abandoned children who grow up without human contact or care; much of our knowledge about socialization comes from these individuals who were not socialized"
"filter model","model of selective attention that suggests that information from a sensory buffer is put through a filter that allows only selected inputs through"
"Five-Factor Model (Costa and McCrae's Five Factor Model)","a model developed to explain personality using five overarching personality traits, which include: extroversion, neuroticism, openness to experience, agreeableness, and conscientiousness"
"fixed-interval schedule","reinforcement schedule in which reward is offered after a set period of time has passed"
"fixed-ratio schedule","reinforcement schedule in which reward is offered after a set number of instances of a behavior"
"folkways","norms that are more informal, yet shape everyday behavior (styles of dress, ways of greeting)"
